"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Tecnico'"", 77, 1015]"
"[""'Scientifica'"", 78, 1030]"
"[""'Classica'"", 100, 1054]"
"[""'Tecnico'"", 98, 1030]"
"[""'Scientifica'"", 88, 1036]"
"[""'Classica'"", 89, 1042]"
"[""'Scientifica'"", 87, 1036]"
"[""'Scientifica'"", 100, 1054]"
"[""'Classica'"", 82, 1024]"
"[""'Scientifica'"", 83, 1006]"
"[""'Scientifica'"", 100, 1054]"
"[""'Tecnico'"", 96, 1054]"
"[""'Geometra'"", 80, 1030]"
"[""'Tecnico'"", 97, 1036]"
"[""'Scientifica'"", 90, 1018]"
"[""'Ragioneria'"", 68, 1009]"
"[""'Tecnico'"", 91, 1039]"
"[""'Scientifica'"", 95, 1054]"
"[""'Scientifica'"", 93, 1015]"
"[""'Scientifica'"", 92, 1042]"
"[""'Scientifica'"", 84, 1030]"
"[""'Scientifica'"", 70, 1015]"
"[""'Scientifica'"", 100, 1024]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 100, 1027]"
"[""'Tecnico'"", 100, 1009]"
"[""'Scientifica'"", 81, 1030]"
"[""'Scientifica'"", 69, 1009]"
"[""'Scientifica'"", 77, 1015]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 80, 1009]"
"[""'Geometra'"", 96, 1027]"
"[""'Tecnico'"", 60, 1030]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1021]"
"[""'Scientifica'"", 70, 1009]"
"[""'Scientifica'"", 81, 1036]"
"[""'Scientifica'"", 68, 1006]"
"[""'Scientifica'"", 94, 1030]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1012]"
"[""'Tecnico'"", 90, 1009]"
"[""'Liceo-Europeo'"", 85, 1036]"
"[""'Scientifica'"", 100, 1042]"
